id,question,category,file_name,file_page
219,وش هي المرفقات الإلكترونية في الطلبات؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,40
220,كيف أرفع مرفق إلكتروني في الطلب؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,40
221,ليش ما يقبل النظام الملف اللي أحاول أرفعه؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,40
222,كم حجم الملف المسموح في المرفقات؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,40
223,كيف أعدل على المرفق بعد ما رفعته؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,40
224,وش معنى "أخر مرحلة في شؤون الموظفين"؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,326
225,كيف أعرف من اللي اعتمد طلبي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,326
226,ليش ما يظهر اسم المعتمد في الطلب؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,326
227,كيف أطبع كشف بالطلبات المقدمة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,327
228,وش هي طلبات التعديل اللي لم يتخذ إجراء بها؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,322
229,كيف أعرف وش سبب رفض طلبي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,332
230,ليش طلبي محول للموظف المختص؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,31
231,كيف أتابع حالة الشكوى اللي قدمتها؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,27
232,كم مدة معالجة الشكوى في النظام؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,30
233,وش الفرق بين رفض وإغلاق الشكوى؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,30
234,ليش الشكوى صارت "طلب توضيح"؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,30
235,كيف أضيف اقتراح لتطوير العمل؟,اقتراحات,Priority_Source_2_User Manual HPA-Complete.pdf,27
236,هل الاقتراحات تنحسب في تقييم الأداء؟,اقتراحات,FAQ_Markdown.md,3
237,كيف أعرف إذا اقتراحي انقبل أو لا؟,اقتراحات,Priority_Source_2_User Manual HPA-Complete.pdf,29
238,وش هي درجة الأهمية في الشكاوى؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,398
239,ليش لازم أحدد درجة الأهمية للشكوى؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,398
240,كيف أعين موظف مسؤول عن نوع شكوى معين؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,397
241,وش هي إعدادات المستودعات المسموح التعامل معها؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,9
242,كيف أحدد رئيس لجنة الإرجاع في النظام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,9
243,وش الفرق بين مراجعة طلبات التأمين في المستودعات والمشتريات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,72
244,كيف أضيف صلاحية لموظف في بوابة المستودعات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,10
245,ليش ما تظهر عندي صلاحية مراجعة طلبات التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,10
246,كيف أوزع الصلاحيات في بوابة المشتريات؟,مشتريات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,12
247,وش هي خطوات تسجيل خطاب تأمين في النظام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,14
248,كيف أحمل بيانات خطاب التأمين من ملف خارجي؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,18
249,وش صيغة الملف المسموحة لتحميل بيانات التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,18
250,كيف أضيف الأصناف المطلوب تأمينها؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,19
251,وش الفرق بين صنف معروف وخدمة في بنود التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,19
252,ليش ما يظهر عندي الصنف اللي أبيه؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,19
253,كيف أضيف نسخ صور في طلب التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,20
254,وش هي مراحل اعتماد خطاب التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,21
255,كيف أعتمد خطاب طلب تأمين من الجهة الفنية؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,26
256,ليش طلب التأمين ما وصل للجهة الفنية؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,22
257,كيف أعتمد خطاب التأمين من إدارة المشتريات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,30
258,وش الفرق بين شراء مباشر ومنافسة في طلب التأمين؟,مشتريات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,31
259,ليش لازم أحدد نوع الشراء في اعتماد التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,31
260,كيف أعدل الكمية المعتمدة من إدارة المشتريات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,31
261,ليش ما أقدر أعدل الكمية المعتمدة لأعلى من المطلوبة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,31
262,كيف أسجل طلب صرف مواد بعد اعتماد التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,34
263,ليش ما يظهر طلب التأمين في طلب الصرف؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,35
264,كيف أبحث عن طلب صرف معين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,34
265,وش هي صفات الطلب عادي وعاجل وعاجل جداً؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,35
266,كيف أضيف الأصناف في طلب صرف المواد؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,37
267,ليش سعر الوحدة يختلف عن متوسط السعر؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,37
268,كيف أحسب القيمة الكلية للأصناف؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,37
269,وش هي الكمية المطلوبة/المعتمدة في طلب الصرف؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,37
270,كيف أعتمد طلب الصرف من مدير الجهة الطالبة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,42
271,ليش طلب الصرف صار "معتمد من الجهة الطالبة غير مراجع من المستودعات"؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,44
272,كيف أسجل محضر استلام جديد؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,46
273,وش الفرق بين أنواع محاضر الاستلام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,47
274,كيف أسجل محضر فحص في النظام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,47
275,ليش ما يظهر عندي رقم التعميد في محضر الاستلام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,48
276,كيف أضيف الأصناف في محضر الاستلام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,50
277,وش هي الأرقام التسلسلية للقطع وكيف أضيفها؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,51
278,ليش بعض الأصناف ما تطلب تاريخ صلاحية؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,51
279,كيف أحدد إذا الصنف يخضع للضريبة أو لا؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,51
280,كيف أحسب صافي سعر الوحدة بعد الضريبة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,51
281,ليش قيمة الضريبة تختلف على كل صنف؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,51
282,كيف أضيف نسبة خصم على محضر الاستلام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,52
283,وش الفرق بين نسبة الخصم وقيمة الخصم؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,52
284,كيف أوزع الخصم على الأصناف المستلمة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,52
285,كيف أعتمد محضر الاستلام من مدير الجهة المستلمة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,59
286,ليش محضر الاستلام ما يظهر عند المدير؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,59
287,وش هي حالة المستند "معتمد من الجهة المستلمة"؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,62
288,كيف أسجل طلب إرجاع عهدة للمستودعات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,63
289,ليش ما أقدر أرجع عهدة مسجلة على موظف ثاني؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,64
290,كيف أختار الأصناف المراد إرجاعها في طلب الارجاع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,65
291,ليش بعض الأصناف ما تظهر في طلب الارجاع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,66
292,كيف أبحث عن عهدة معينة ضمن العهد المسجلة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,66
293,وش هي أسباب الإرجاع المعرفة في النظام؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,66
294,كيف أعتمد طلبات الارجاع كرئيس لجنة الارجاع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,69
295,ليش ما أقدر أعتمد طلب الارجاع مع أني رئيس اللجنة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,9
296,كيف أعدل على الأصناف في طلب الارجاع قبل الاعتماد؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,70
297,وش هي مراجعة طلبات التأمين من المستودعات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,72
298,كيف أحدد الكمية المتوفرة من الصنف في المستودع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,74
299,وش الفرق بين الكمية المتوفرة والمتاحة والمحجوزة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,74
300,كيف أحدد نتيجة المراجعة للصنف (متوفر/غير متوفر)؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,74
301,ليش الكمية المتوفرة أقل من اللي في المستودع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,74
302,كيف أطبع كشف أرصدة العهد للموظفين؟,استعلامات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,78
303,وش الفرق بين الكشف المفصل والمختصر للعهد؟,استعلامات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,78
304,ليش ما تظهر الأرقام التسلسلية في كشف العهد؟,استعلامات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,78
305,كيف أستعلم عن عهد موظف معين؟,استعلامات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,78
306,وش هي بطاقة عهدة وكيف أطلعها؟,عهد,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,78
307,كيف أضيف مستودع جديد في الإعدادات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,9
308,ليش المستودع ما يظهر في القائمة مع إنه مضاف؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,9
309,كم مدة التكليف الجزئي والكلي للموظف؟,تكليف,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,21
310,كيف أسجل طلب تكليف للتابعين لي بالعمل خارج الدوام؟,تكليف,Priority_Source_2_User Manual HPA-Complete.pdf,121
311,ليش ما أقدر أكلف موظف بالعمل خارج الدوام؟,تكليف,Priority_Source_2_User Manual HPA-Complete.pdf,121
312,وش هي مكافأة العمل خارج الدوام وكيف تحسب؟,مكافآت,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
313,كيف أسجل طلب إفادة عن تكليف خارج الدوام؟,تكليف,Priority_Source_2_User Manual HPA-Complete.pdf,117
314,ليش ما يظهر قرار التكليف عند تسجيل الإفادة؟,تكليف,Priority_Source_2_User Manual HPA-Complete.pdf,117
315,كيف أنقل موظف من جهة لأخرى؟,نقل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,20
316,هل يجوز نقل الموظف أثناء فترة التجربة؟,نقل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,20
317,ليش ما أقدر أنقل لوظيفة أقل مرتبة؟,نقل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,20
318,كيف أطلب إعارة للعمل في جهة ثانية؟,إعارة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,21
319,كم أقصى مدة للإعارة في الخدمة المدنية؟,إعارة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,21
320,هل أحتفظ بوظيفتي أثناء الإعارة؟,إعارة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,22
321,كيف أطلب استعارة موظف من جهة ثانية؟,إعارة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,23
322,وش الفرق بين الإعارة والاستعارة؟,إعارة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,21
323,كيف أطلب تمديد خدمتي بعد سن التقاعد؟,تقاعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,27
324,كم أقصى مدة لتمديد الخدمة؟,تقاعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,27
325,ما هي شروط تمديد الخدمة؟,تقاعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,27
326,كيف أتأكد من اللياقة الصحية للتعيين؟,تعيين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,28
327,كم مدة صلاحية نتيجة فحص اللياقة الصحية؟,تعيين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,28
328,وش هي الأمراض اللي تمنع التعيين؟,تعيين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,28
329,كيف أتقدم بطلب استقالة؟,استقالة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,50
330,كم مدة معالجة طلب الاستقالة؟,استقالة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,50
331,هل أقدر أرجع في الاستقالة بعد تقديمها؟,استقالة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,51
332,ليش ما تقبل استقالتي وأنا تحت التحقيق؟,استقالة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,50
333,كيف أطلب إحالة على التقاعد المبكر؟,تقاعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,52
334,كم سنة خدمة للتقاعد المبكر؟,تقاعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,52
335,وش هي حالات إنهاء الخدمة في النظام؟,إنهاء خدمة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,50
336,كيف يتم إنهاء خدمة الموظف للعجز الصحي؟,إنهاء خدمة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,52
337,هل أقدر أرجع للخدمة بعد إنهائها للعجز الصحي؟,إنهاء خدمة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,52
338,كم مدة الانقطاع عن العمل اللي تؤدي للفصل؟,إنهاء خدمة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,53
339,ما هي حالات الفصل بقوة النظام؟,إنهاء خدمة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,53
340,كيف أتأكد من الواجبات الوظيفية اللي لازم ألتزم فيها؟,واجبات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,47
341,وش المحظورات في السلوك الوظيفي؟,واجبات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,47
342,هل مسموح أشتغل في القطاع الخاص وأنا موظف حكومي؟,واجبات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,47
343,كيف أتعامل مع المعلومات السرية في العمل؟,واجبات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,47
344,وش هي ساعات العمل الرسمية في رمضان؟,بيئة عمل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
345,كم ساعات العمل الرسمية في الأيام العادية؟,بيئة عمل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
346,ما هي أيام العمل الرسمية؟,بيئة عمل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
347,هل فيه دوام مرن في الجهة؟,بيئة عمل,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
348,كيف تحسب مكافأة الورديات؟,مكافآت,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
349,وش هي إجازة تعويض العطل الرسمية؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
350,كيف تعوض العطل الرسمية إذا وافقت عطلة؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
351,وش هي عطلة اليوم الوطني وعطلة التأسيس؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
352,كم مدة عطلة عيد الفطر وعيد الأضحى؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
353,كيف أطلب تعويض عن العمل في العطل الرسمية؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
354,ليش ما تظهر العطل الرسمية في رصيد الإجازة؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,33
355,كيف أعرف فئات الأقارب حتى الدرجة الرابعة؟,مرافقين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,5
356,من هم الأقارب من الدرجة الثالثة؟,مرافقين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,5
357,من هم الأقارب من الدرجة الرابعة؟,مرافقين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,5
358,كيف أعرف إذا القريب من الدرجة الأولى أو الثانية؟,مرافقين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,5
359,وش هي إجازة مرافقة الزوجة للعلاج؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
360,هل أحتاج تقرير طبي لإجازة مرافقة مريض؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
361,كيف أتأكد من توفر المؤهل المطلوب للوظيفة؟,تعيين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,15
362,ما هي شروط التعيين في الخدمة المدنية؟,تعيين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,15
363,هل يجوز التعيين لغير السعودي؟,تعيين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,15
364,كيف أتحسن للمستوى الوظيفي الأعلى؟,ترقية,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,15
365,ما هي شروط الترقية للمرتبة العاشرة فما دون؟,ترقية,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,18
366,ليش ما أنظر للترقية وأنا مبتعث؟,ترقية,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,18
367,كيف تتم المفاضلة في الترقيات؟,ترقية,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,18
368,ما هي الترقية الاستثنائية وشروطها؟,ترقية,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,19
369,كم عدد الترقيات الاستثنائية المسموحة؟,ترقية,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,19
370,كيف أعرف إذا الوظيفة قابلة للعمل عن بعد؟,عمل عن بعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,11
371,ما هي شروط العمل عن بعد؟,عمل عن بعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,11
372,كيف أطلب العمل عن بعد؟,عمل عن بعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,11
373,متى يتم إنهاء العمل عن بعد؟,عمل عن بعد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,11
374,وش الفرق بين التعاقد بدوام كامل وجزئي؟,تعاقد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,24
375,كم نسبة ساعات العمل في التعاقد الجزئي؟,تعاقد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,24
376,ما هو التعاقد المؤقت وكم مدته؟,تعاقد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,24
377,هل يجوز التعاقد مع متقاعد؟,تعاقد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,25
378,كيف أتعاقد مع غير سعودي؟,تعاقد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,25
379,وش هو برنامج الكفاءات المتميزة؟,تعاقد,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,25
380,ما هو إطار العمل التنظيمي؟,تعريفات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,4
381,وش معنى تصنيف الوظائف في الخدمة المدنية؟,تعريفات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,4
382,ما هي إدارة الموارد البشرية؟,تعريفات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,4
383,وش معنى المهمة الرسمية للموظف؟,تعريفات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,5
384,كيف أضيف تعليق على خبر في البوابة؟,أخبار,Priority_Source_2_User Manual HPA-Complete.pdf,15
385,ليش ما تظهر الصور في الأخبار؟,أخبار,Priority_Source_2_User Manual HPA-Complete.pdf,15
386,كيف أخفي خبر معين من البوابة؟,أخبار,Priority_Source_2_User Manual HPA-Complete.pdf,379
387,وش معنى "إخفاء الخبر" في إدارة الأخبار؟,أخبار,Priority_Source_2_User Manual HPA-Complete.pdf,379
388,كيف أضيف صورة للخبر؟,أخبار,Priority_Source_2_User Manual HPA-Complete.pdf,380
389,كم مدة صلاحية الأخبار في البوابة؟,أخبار,Priority_Source_2_User Manual HPA-Complete.pdf,15
390,كيف أغير لغة البوابة؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
391,ليش البوابة تفتح بالإنجليزي مع أني سايبها عربي؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
392,كيف أغير لون واجهة النظام؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
393,وش معنى قائمة الإخطارات قيد الانتظار؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
394,كيف أعدل بياناتي في الملف الشخصي؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
395,ليش ما أقدر أغير البريد الإلكتروني في الملف الشخصي؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
396,كيف أسوي تسجيل خروج آمن من البوابة؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
397,وش رقم النسخة الحالية للبوابة؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
398,كيف أبحث عن قائمة معينة في البوابة؟,بوابة,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,6
399,ليش ما تظهر بعض القوائم عندي؟,بوابة,Priority_Source_2_User Manual HPA-Complete.pdf,387
400,كيف أتحكم في ظهور الشاشات للمستخدمين؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,387
401,وش الفرق بين "تظهر في النظام" و "تظهر لمدير النظام"؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,388
402,كيف أحدد ترتيب ظهور الشاشات في القائمة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,388
403,ليش بعض أنواع الإجازات ما تظهر في الاستعلام؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,388
404,كيف أفعل طباعة النموذج للطلبات؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,388
405,وش هي إعدادات نسيت كلمة السر في البوابة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
406,كيف أغير طريقة إرسال رمز التحقق؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
407,ليش ما يوصلني رمز التحقق على الإيميل؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
408,كيف أحدد البريد الإلكتروني إجباري للموظفين؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
